x1,x2,x3,x4,output
0.5,0.0,0.0,0.0,[0.6186029]
0.4977303147315979,-0.05670769140124321,0.0027013798244297504,0.067531056702137,[-0.49907547]
0.4903799295425415,-0.09855777025222778,0.007626142352819443,0.021808460354804993,[0.21756504]
0.47870075702667236,-0.14391614496707916,0.010859583504498005,0.04810062795877457,[-0.25295365]
0.4628159999847412,-0.180930957198143,0.014807133935391903,0.026506448164582253,[0.05784582]
0.4432287812232971,-0.21789602935314178,0.017838558182120323,0.035987067967653275,[-0.15696773]
0.42013368010520935,-0.250073105096817,0.020939920097589493,0.023507410660386086,[-0.02015331]
0.3938417434692383,-0.2816638648509979,0.023338479921221733,0.024650398641824722,[-0.12385349]
0.3644840121269226,-0.31086066365242004,0.025427207350730896,0.015183872543275356,[-0.06555711]
0.3322146236896515,-0.33979761600494385,0.026801658794283867,0.011520879343152046,[-0.11762843]
0.29709264636039734,-0.36764904856681824,0.02759741246700287,0.002542149741202593,[-0.09315851]
0.259194940328598,-0.3952089250087738,0.027592230588197708,-0.004018767736852169,[-0.11772442]
0.2185816615819931,-0.4217035174369812,0.02682865411043167,-0.013142743147909641,[-0.10440309]
0.17536713182926178,-0.44693994522094727,0.02520114742219448,-0.0210602805018425,[-0.11099233]
0.1297188699245453,-0.4698791205883026,0.022746548056602478,-0.029866274446249008,[-0.09730069]
0.08190003782510757,-0.48969006538391113,0.01945379003882408,-0.037615712732076645,[-0.0901624]
0.032272227108478546,-0.5051606297492981,0.01539743784815073,-0.04508514702320099,[-0.07115727]
-0.018688814714550972,-0.5152575969696045,0.010648787021636963,-0.05119127407670021,[-0.05317837]
-0.07040276378393173,-0.5189182758331299,0.005335764028131962,-0.05614306032657623,[-0.02766862]
-0.12219452112913132,-0.5153694748878479,-0.0003992234414909035,-0.05926479771733284,[-0.00103539]
-0.17332062125205994,-0.5040631890296936,-0.006370929069817066,-0.060498956590890884,[0.0310259]
-0.22299860417842865,-0.48484745621681213,-0.012369551695883274,-0.05931786075234413,[0.06405109]
-0.27044442296028137,-0.45791003108024597,-0.01814901828765869,-0.05560619384050369,[0.09728518]
-0.31490781903266907,-0.42381468415260315,-0.023453233763575554,-0.04928649961948395,[0.12289356]
-0.35570579767227173,-0.3833949565887451,-0.02804861217737198,-0.04103781282901764,[0.13824181]
-0.39224907755851746,-0.3377419412136078,-0.0317789725959301,-0.031776923686265945,[0.14098167]
-0.4240644574165344,-0.2881186008453369,-0.034588515758514404,-0.022638389840722084,[0.13501613]
-0.45081034302711487,-0.2359183132648468,-0.03651876002550125,-0.014353528618812561,[0.12279031]
-0.47228482365608215,-0.1825396567583084,-0.037674546241760254,-0.007408701814711094,[0.10848764]
-0.48842257261276245,-0.12929780781269073,-0.03819293528795242,-0.0018802947597578168,[0.09369577]
-0.4992819130420685,-0.07730662077665329,-0.03821307420730591,0.0022939639165997505,[0.08053416]
-0.5050219893455505,-0.027415534481406212,-0.037860456854104996,0.0053618913516402245,[0.06961405]
-0.5058742165565491,0.01984465681016445,-0.03723461180925369,0.007600622717291117,[0.06190355]
-0.5021103024482727,0.06426418572664261,-0.03640475869178772,0.00935205165296793,[0.0575681]
-0.4940108358860016,0.10593529790639877,-0.03540647774934769,0.010944453068077564,[0.05686222]
-0.4818374216556549,0.1451941728591919,-0.03424247354269028,0.012707185931503773,[0.05948462]
-0.4658113121986389,0.18254539370536804,-0.032884400337934494,0.014922648668289185,[0.06502046]
-0.44610029458999634,0.2185663878917694,-0.031277623027563095,0.01782447285950184,[0.07264739]
-0.4228154122829437,0.2538090944290161,-0.029347341507673264,0.021566586568951607,[0.08141668]
-0.3960173428058624,0.28870365023612976,-0.02700667269527912,0.026220211759209633,[0.09018295]
-0.3657318353652954,0.3234776258468628,-0.024165384471416473,0.03176227957010269,[0.0978171]
-0.3319723308086395,0.3580962121486664,-0.020739024505019188,0.0380830354988575,[0.10322605]
-0.29476749897003174,0.39223188161849976,-0.016657309606671333,0.044992703944444656,[0.10548905]
-0.25419044494628906,0.4252653121948242,-0.011871452443301678,0.05223863199353218,[0.1038769]
-0.21038661897182465,0.45631906390190125,-0.006359803956001997,0.05952109768986702,[0.09790927]
-0.16359707713127136,0.4843202531337738,-0.00013181859685573727,0.06651192903518677,[0.08733833]
-0.11417464166879654,0.5080868601799011,0.006769686937332153,0.07286910712718964,[0.07212597]
-0.06259072571992874,0.5264293551445007,0.014267580583691597,0.0782475396990776,[0.05235394]
-0.009431784972548485,0.5382580161094666,0.022250156849622726,0.08230023831129074,[0.02811515]
0.044614776968955994,0.5426861047744751,0.03057057224214077,0.0846690759062767,[-0.00052213]
0.0987844467163086,0.5391176342964172,0.03904528170824051,0.08497349172830582,[-0.03311324]
0.15226708352565765,0.5273067951202393,0.047453053295612335,0.08284217119216919,[-0.06762823]
0.20424266159534454,0.5073752999305725,0.055542174726724625,0.07806991040706635,[-0.09931168]
0.2539169192314148,0.4797842800617218,0.06305807083845139,0.07089307904243469,[-0.12227026]
0.3005535304546356,0.4452893137931824,0.06979220360517502,0.062108054757118225,[-0.13324217]
0.3435020446777344,0.4049031436443329,0.07562768459320068,0.052811913192272186,[-0.13302676]
0.38222184777259827,0.3598487377166748,0.08055330067873001,0.044001080095767975,[-0.12498564]
0.4162999391555786,0.3114810287952423,0.08464351296424866,0.03632292151451111,[-0.11281538]
0.4454599916934967,0.2611801326274872,0.0880226269364357,0.030052855610847473,[-0.09936731]
0.4695601463317871,0.21023674309253693,0.09083143621683121,0.025190209969878197,[-0.08650329]
0.4885801672935486,0.1597508192062378,0.09320397675037384,0.0215672068297863,[-0.07540101]
0.5025991797447205,0.11055626720190048,0.0952538400888443,0.01892481930553913,[-0.06683036]
0.5117674469947815,0.06317806988954544,0.09706687182188034,0.016957787796854973,[-0.06130472]
0.5162751078605652,0.017823779955506325,0.09869758784770966,0.015341101214289665,[-0.05911423]
0.5163212418556213,-0.02559158205986023,0.10016801208257675,0.013749826699495316,[-0.06031166]
0.5120870471000671,-0.06739078462123871,0.10146840661764145,0.011877404525876045,[-0.06468505]
0.503714919090271,-0.10805603116750717,0.10255986452102661,0.00945432111620903,[-0.07175153]
0.4912964403629303,-0.14813515543937683,0.10337872803211212,0.0062658763490617275,[-0.08077645]
0.4748696982860565,-0.18814203143119812,0.10384266823530197,0.0021674702875316143,[-0.09082854]
0.45442652702331543,-0.22846131026744843,0.10385812073945999,-0.0029051941819489002,[-0.10085394]
0.4299286901950836,-0.2692672610282898,0.10332846641540527,-0.008931913413107395,[-0.10976936]
0.4013312757015228,-0.3104650378227234,0.10216237604618073,-0.015810875222086906,[-0.11654997]
0.36861082911491394,-0.3516606092453003,0.10028161108493805,-0.023367511108517647,[-0.12031174]
0.33179524540901184,-0.3921627700328827,0.09762774407863617,-0.031368423253297806,[-0.1203739]
0.2909921109676361,-0.4310173988342285,0.09416734427213669,-0.039538368582725525,[-0.11630464]
0.2464125007390976,-0.46707087755203247,0.08989543467760086,-0.04757891967892647,[-0.10794559]
0.19838741421699524,-0.49905696511268616,0.08483704179525375,-0.055187247693538666,[-0.095419]
0.14737504720687866,-0.5256984233856201,0.07904691994190216,-0.06207410618662834,[-0.07910943]
0.0939575806260109,-0.5458139777183533,0.07260757684707642,-0.06797940284013748,[-0.05961286]
0.03882748261094093,-0.5584203004837036,0.06562591344118118,-0.07268315553665161,[-0.03762977]
-0.017235783860087395,-0.5628194808959961,0.05822915583848953,-0.07600709795951843,[-0.01379723]
-0.07339693605899811,-0.5586641430854797,0.050561197102069855,-0.07780174165964127,[0.01149856]
-0.12880142033100128,-0.545993983745575,0.04278087988495827,-0.07791748642921448,[0.0380917]
-0.18261423707008362,-0.5252383351325989,0.03506290540099144,-0.07618225365877151,[0.06535694]
-0.2340574562549591,-0.4971781075000763,0.027598107233643532,-0.0724511444568634,[0.09091165]
-0.2824420630931854,-0.4628640413284302,0.020583365112543106,-0.06679033488035202,[0.11054503]
-0.3271907866001129,-0.4235098659992218,0.014192771166563034,-0.05967060849070549,[0.12083712]
-0.3678504526615143,-0.3803965151309967,0.008539940230548382,-0.05189792439341545,[0.12140748]
-0.4040956199169159,-0.33479318022727966,0.003656335175037384,-0.04431740939617157,[0.11449621]
-0.43572431802749634,-0.2878791391849518,-0.000502482580486685,-0.037559181451797485,[0.10342189]
-0.4626457691192627,-0.24066421389579773,-0.004031358752399683,-0.031938474625349045,[0.09129539]
-0.48486071825027466,-0.193919375538826,-0.007045168895274401,-0.02748335339128971,[0.08049936]
-0.5024356842041016,-0.14813114702701569,-0.009653197601437569,-0.024012086912989616,[0.07259127]
-0.5154739618301392,-0.10348783433437347,-0.01194151584059,-0.021217040717601776,[0.06842469]
-0.5240865349769592,-0.05989973619580269,-0.013963129371404648,-0.018733026459813118,[0.06825988]
