x1,x2,x3,x4,output
1.0,0.0,1.0,0.0,[-0.1318683]
0.9959891,-0.10021222,1.0002167,0.005414124,[-0.13686472]
0.9820063,-0.19899048,1.000972,0.010747184,[-0.14249393]
0.95823485,-0.2953428,1.0022556,0.01594143,[-0.14870307]
0.9249562,-0.38830212,1.0040512,0.020941112,[-0.15543067]
0.88254726,-0.4769361,1.0063373,0.02569328,[-0.16260749]
0.8314765,-0.5603565,1.0090871,0.030148517,[-0.1701578]
0.7722991,-0.6377283,1.0122691,0.0342616,[-0.17800064]
0.70565134,-0.7082778,1.0158474,0.037992056,[-0.18605131]
0.6322442,-0.7713011,1.0197824,0.04130465,[-0.19422278]
0.5528561,-0.82617044,1.0240309,0.04416973,[-0.20242703]
0.46832475,-0.8723412,1.0285473,0.04656348,[-0.21057636]
0.37953904,-0.90935713,1.0332836,0.04846806,[-0.21858452]
0.28742975,-0.93685484,1.0381904,0.049871646,[-0.2263677]
0.1929601,-0.95456785,1.0432173,0.050768346,[-0.23384537]
0.09711605,-0.96232903,1.0483136,0.05115805,[-0.2409411]
0.0008962285,-0.9600724,1.0534288,0.051046178,[-0.24758294]
-0.09469822,-0.9478338,1.058513,0.05044337,[-0.25370374]
-0.1886738,-0.92575043,1.0635178,0.04936512,[-0.2592414]
-0.28005472,-0.89405984,1.0683964,0.04783135,[-0.2641389]
-0.36789295,-0.85309726,1.0731043,0.04586599,[-0.26834452]
-0.4512777,-0.80329233,1.0775992,0.04349653,[-0.27181205]
-0.52934486,-0.7451649,1.081842,0.040753562,[-0.27450156]
-0.6012857,-0.67931956,1.0857965,0.037670337,[-0.27638018]
-0.6663552,-0.60644007,1.0894302,0.034282357,[-0.27742335]
-0.7238796,-0.52728206,1.0927142,0.030626979,[-0.2776158]
-0.77326334,-0.44266564,1.0956233,0.026743054,[-0.27695242]
-0.8139953,-0.35346717,1.0981361,0.0226706,[-0.27543896]
-0.84565383,-0.26061037,1.1002353,0.018450508,[-0.2730922]
-0.86791134,-0.16505717,1.1019081,0.014124279,[-0.26993936]
-0.88053757,-0.06779787,1.1031452,0.009733793,[-0.26601762]
-0.88340217,0.030158743,1.1039422,0.005321098,[-0.26137325]
-0.87647605,0.12779562,1.1042984,0.00092821114,[-0.2560605]
-0.8598318,0.22409773,1.1042174,-0.0034030639,[-0.25014114]
-0.8336432,0.31806234,1.1037071,-0.007631326,[-0.2436834]
-0.7981834,0.40870917,1.1027794,-0.011715771,[-0.23676136]
-0.7538224,0.49509043,1.1014503,-0.015616395,[-0.22945452]
-0.7010233,0.5763004,1.0997398,-0.019294225,[-0.22184679]
-0.6403378,0.6514848,1.0976716,-0.022711571,[-0.21402553]
-0.57240087,0.7198494,1.0952733,-0.02583231,[-0.2060806]
-0.49792397,0.7806684,1.0925758,-0.028622193,[-0.19810311]
-0.4176883,0.83329165,1.0896137,-0.031049192,[-0.19018394]
-0.33253685,0.87715185,1.0864244,-0.033083867,[-0.18241255]
-0.24336573,0.91177016,1.0830481,-0.03469976,[-0.17487553]
-0.15111531,0.9367613,1.0795277,-0.0358738,[-0.16765553]
-0.056760587,0.95183796,1.0759083,-0.03658671,[-0.16083005]
0.03869874,0.9568137,1.0722365,-0.036823418,[-0.15447049]
0.13424844,0.9516052,1.0685605,-0.036573447,[-0.14864126]
0.2288701,0.93623346,1.0649291,-0.03583127,[-0.14339934]
0.3215516,0.9108239,1.0613917,-0.03459661,[-0.13879383]
0.4112975,0.8756052,1.0579973,-0.03287472,[-0.13486609]
0.49713933,0.8309076,1.0547943,-0.030676521,[-0.13165006]
0.57814556,0.7771594,1.0518296,-0.02801874,[-0.1291731]
0.65343136,0.71488327,1.0491483,-0.024923878,[-0.12745677]
0.72216773,0.64469117,1.0467932,-0.021420123,[-0.12651785]
0.78359026,0.5672782,1.0448037,-0.01754114,[-0.12636882]
0.8370071,0.48341596,1.043216,-0.013325746,[-0.1270185]
