x1,x2,x3,x4,output
0.0,0.0,0.0,0.0,[-8.23522e-07]
0.0,0.0,0.0,0.0,[-8.23522e-07]
0.00012483013,0.0031188615,-1.2483013e-05,-0.00031188616,[0.00017904]
0.000673401,0.009026091,-6.73401e-05,-0.0009026091,[0.00054564]
0.00189937,0.01708695,-0.000189937,-0.001708695,[0.00108556]
0.003983199,0.026425093,-0.0003983199,-0.0026425093,[0.00176615]
0.0070114415,0.036009178,-0.00070114416,-0.0036009175,[0.00253852]
0.010965314,0.04475493,-0.0010965314,-0.0044754925,[0.00334218]
0.015719704,0.05163271,-0.0015719704,-0.00516327,[0.00411077]
0.021052742,0.055769995,-0.0021052742,-0.005576998,[0.0047785]
0.02666502,0.056538746,-0.002666502,-0.005653873,[0.00528646]
0.03220661,0.05361909,-0.0032206608,-0.005361909,[0.00558827]
0.037309255,0.047033064,-0.0037309255,-0.0047033103,[0.00565456]
0.041620605,0.03714508,-0.0041620615,-0.003714519,[0.00547583]
0.044837173,0.02462904,-0.00448372,-0.0024629268,[0.00506337]
0.046732776,0.010405335,-0.004673283,-0.0010405711,[0.0044483]
0.04717973,-0.0044462113,-0.004717983,0.00044456703,[0.00367861]
0.046160694,-0.018788895,-0.0046160854,0.0018788195,[0.00281461]
0.043770045,-0.03153721,-0.004377028,0.0031536378,[0.00192318]
0.040204618,-0.041759882,-0.004020494,0.004175896,[0.00107133]
0.035744764,-0.048767842,-0.003574518,0.0048766867,[0.00031986]
0.030727526,-0.052178506,-0.003072804,0.005217751,[-0.00028242]
0.025514595,-0.05195015,-0.002551521,0.0051949155,[-0.00070321]
0.02045815,-0.048383016,-0.0020458864,0.004838203,[-0.00092957]
0.015867926,-0.042087093,-0.0015868737,0.004208612,[-0.00096892]
0.011982705,-0.033919737,-0.0011983613,0.0033918768,[-0.00084801]
0.008949026,-0.024899263,-0.00089500303,0.00248983,[-0.00060996]
0.0068091494,-0.016103024,-0.000681025,0.0016102062,[-0.00030983]
0.0054994514,-0.0085599255,-0.0005500648,0.00085589656,[-8.78342e-06]
0.0048593762,-0.003147971,-0.00048606683,0.0003147012,[0.00023211]
