x1,x2,x3,x4,output
0.0,0.0,0.0,0.0,[-0.015188]
6.1353276e-06,0.00015329021,-6.136555e-05,-0.0015341294,[0.00431414]
0.00014451458,0.0032273713,-0.00020982696,-0.0014101238,[0.02318783]
0.00069448125,0.008898145,-0.000280811,0.00034158168,[0.04042915]
0.0018912491,0.016549347,-0.00011563154,0.0036193768,[0.05388103]
0.0038996285,0.02534667,0.00042648579,0.008127748,[0.06209162]
0.006795371,0.034316864,0.0014515196,0.013439891,[0.06403679]
0.010555154,0.04244495,0.0030188463,0.019030763,[0.05933024]
0.015056424,0.04877467,0.005133566,0.024330819,[0.04823534]
0.020087086,0.052503664,0.00774427,0.02878146,[0.03164856]
0.025364114,0.053063743,0.010746344,0.03189031,[0.01101177]
0.030559298,0.050178427,0.013990541,0.03328,[-0.01182696]
0.03532959,0.0438921,0.017295985,0.032725863,[-0.03479243]
0.039349157,0.03456792,0.02046636,0.030178877,[-0.05578461]
0.042339932,0.022854667,0.0233077,0.025771465,[-0.07288243]
0.04409777,0.009625757,0.025646064,0.019805722,[-0.08453093]
0.044511616,-0.004103661,0.027343368,0.012725093,[-0.08969185]
0.043573808,-0.017273417,0.028309833,0.0050723758,[-0.08794427]
0.041380547,-0.028879417,0.028511867,-0.0025619208,[-0.07952494]
0.038122453,-0.038069263,0.027974576,-0.009595799,[-0.06530469]
0.034066148,-0.044223033,0.026778705,-0.015511124,[-0.04670299]
0.029528668,-0.04701133,0.025052294,-0.01990269,[-0.02554905]
0.024847202,-0.046424955,0.022957863,-0.022516215,[-0.00390262]
0.020347107,-0.042773303,0.020676395,-0.023271553,[0.01614759]
0.01631133,-0.036651697,0.01838968,-0.022268835,[0.0326882]
0.012954219,-0.028880859,0.016262747,-0.01977698,[0.04416838]
0.010402258,-0.020424493,0.0144281145,-0.016205676,[0.04955061]
0.008683612,-0.012293046,0.012973372,-0.012063682,[0.04841162]
0.0077274772,-0.005443095,0.011933335,-0.007907461,[0.04098253]
0.0073732785,-0.00068220653,0.011287509,-0.004285265,[0.02812513]
0.0073887976,0.0014113906,0.01096311,-0.001682099,[0.01124629]
0.007495432,0.0005464499,0.010843336,-0.00047098074,[-0.00784126]
0.0073980917,-0.003251981,0.01078007,-0.00087528606,[-0.02709782]
0.006816776,-0.009644464,0.01060976,-0.0029458571,[-0.04445818]
0.0055167214,-0.0180101,0.0101709,-0.0065551577,[-0.05803543]
0.0033341371,-0.027507279,0.009321398,-0.011409029,[-0.06630747]
0.00019498992,-0.037156288,0.007954106,-0.017074913,[-0.06826764]
-0.003875034,-0.045935713,0.006008982,-0.023023756,[-0.06352512]
-0.008750387,-0.05288316,0.0034806838,-0.028681532,[-0.05234493]
-0.014215376,-0.057190467,0.0004208182,-0.033485293,[-0.03562434]
-0.019982817,-0.05828403,-0.003065369,-0.03693837,[-0.01480666]
-0.025719808,-0.055882376,-0.0068275738,-0.038659196,[0.00825794]
-0.031078143,-0.050025385,-0.010683451,-0.03841908,[0.03149176]
-0.035726383,-0.04107221,-0.014434819,-0.03616515,[0.05279177]
-0.039380487,-0.02966817,-0.017885474,-0.032026235,[0.07023367]
-0.041830014,-0.016683787,-0.020858884,-0.02630107,[0.08225881]
-0.04295734,-0.0031319188,-0.023214048,-0.01943005,[0.08782529]
-0.042748034,0.009928926,-0.024857987,-0.011953232,[0.08650829]
-0.04129139,0.021495664,-0.025753638,-0.0044587073,[0.07854041]
-0.038771037,0.03071624,-0.025922414,0.0024735853,[0.06478823]
-0.03544661,0.036970392,-0.025441173,0.008327201,[0.04666666]
