x1,x2,x3,x4,output
0.25,0.0,0.0,0.0,[5.]
0.24697034,-0.07569001,0.020302964,0.50756884,[5.]
0.23652147,-0.14731961,0.09134767,1.0147234,[5.]
0.21913631,-0.21245123,0.2130836,1.5211737,[1.3469298]
0.19705747,-0.23174371,0.3706696,1.6577243,[-0.6171735]
0.17414755,-0.2241321,0.5339491,1.5953206,[-1.4710435]
0.15248175,-0.2051755,0.6875339,1.4466505,[-1.8867031]
0.13284528,-0.18343367,0.8245857,1.2563804,[-2.0819142]
0.11530476,-0.16393542,0.94184303,1.0469351,[-2.166422]
0.099525966,-0.14919887,1.0378357,0.8294727,[-2.1988053]
0.08499386,-0.14004005,1.1119686,0.6091505,[-2.1835437]
0.07115485,-0.13625404,1.1641424,0.39063555,[-2.084175]
0.057501633,-0.13703683,1.1948704,0.18224789,[-1.8930618]
0.043627597,-0.14113797,1.2055291,-0.0069098524,[-1.6705247]
0.02926671,-0.14696519,1.1981648,-0.17375338,[-1.4786028]
0.014317257,-0.15280366,1.1748843,-0.3213971,[-1.3288598]
-0.0011553532,-0.15703425,1.1374367,-0.45411527,[-1.2019501]
-0.016933395,-0.15827125,1.0872205,-0.5742573,[-1.076134]
-0.032673955,-0.15546596,1.0254861,-0.6820084,[-0.9375329]
-0.04794633,-0.14800133,0.9535206,-0.776168,[-0.78037345]
-0.062278055,-0.13575931,0.8727546,-0.8549464,[-0.60488683]
-0.07520566,-0.11913558,0.78479785,-0.9165478,[-0.41525188]
-0.08632432,-0.09898878,0.6914248,-0.9595503,[-0.21795961]
-0.09532987,-0.076529175,0.594528,-0.98313,[-0.0206069]
-0.10204793,-0.05316618,0.49605414,-0.9871753,[0.16892007]
-0.10644698,-0.030342044,0.39793077,-0.9723308,[0.34295157]
-0.10863531,-0.0093787545,0.30199093,-0.93999714,[0.49434188]
-0.1088438,0.008641767,0.20989856,-0.8923014,[0.61671156]
-0.10739862,0.022954725,0.12307825,-0.8320392,[0.70474154]
-0.104687884,0.033147503,0.042652015,-0.7625798,[0.75460684]
-0.10112641,0.039160118,-0.030612197,-0.6877202,[0.764624]
-0.09712157,0.041259788,-0.09633459,-0.61146736,[0.73606235]
-0.09304248,0.0399961,-0.15453242,-0.5377357,[0.67391163]
-0.08919436,0.036140222,-0.2055954,-0.46996495,[0.587169]
-0.08579943,0.030611157,-0.25022182,-0.41070902,[0.48816156]
-0.08298543,0.024394402,-0.28931618,-0.36129314,[0.3908358]
-0.080782205,0.01846025,-0.32385957,-0.3216433,[0.30851853]
-0.079126246,0.01368799,-0.35477185,-0.290341,[0.25197017]
-0.07787241,0.0107993325,-0.38278732,-0.26487428,[0.22822207]
-0.07681188,0.010303177,-0.40836006,-0.24200624,[0.24019721]
-0.07569507,0.0124546485,-0.4316078,-0.21818316,[0.28685004]
-0.074257925,0.01723206,-0.4522961,-0.18993036,[0.36349735]
-0.07224965,0.024335578,-0.46986076,-0.15421726,[0.4620783]
-0.06945957,0.03321087,-0.4834659,-0.10879844,[0.5712418]
-0.06574055,0.04310008,-0.49209598,-0.052548043,[0.67657053]
-0.06102627,0.053119134,-0.4946801,0.014226724,[0.76177305]
-0.055340126,0.06235316,-0.4902433,0.08959082,[0.81178564]
-0.048794568,0.06995214,-0.47806445,0.17009751,[0.8172415]
-0.041581653,0.07520733,-0.4578051,0.25135335,[0.7773948]
-0.0339568,0.07760442,-0.42956954,0.3288768,[0.69881696]
-0.026217509,0.07686704,-0.39388466,0.39882606,[0.59123266]
-0.018677803,0.07299729,-0.3516235,0.45830914,[0.46416426]
-0.011639315,0.06629898,-0.30391133,0.5053587,[0.3259866]
-0.0053615794,0.05736372,-0.2520378,0.5388152,[0.18440473]
-3.5491717e-05,0.047014043,-0.19737881,0.55826324,[0.04709492]
0.004236128,0.03621235,-0.14132188,0.5640363,[-0.07800566]
0.007448087,0.025951598,-0.08518969,0.5572545,[-0.18280602]
0.009691348,0.01714435,-0.030160377,0.53985274,[-0.25954846]
0.011140996,0.010524931,0.022813175,0.51455975,[-0.30172083]
0.012035432,0.0065765455,0.07307806,0.4847821,[-0.30535826]
0.012649661,0.0054916353,0.12033916,0.4543543,[-0.27044144]
0.013266086,0.007168505,0.16468616,0.42714408,[-0.20174888]
0.014146271,0.011240093,0.20657748,0.40656877,[-0.108563]
0.015506467,0.017125042,0.24677703,0.39513853,[-0.00320812]
0.017498706,0.024090806,0.28625098,0.39414504,[0.10096975]
0.02019843,0.031322584,0.32604155,0.4035516,[0.1914863]
0.023599144,0.037995085,0.36713728,0.42207173,[0.2581361]
0.027614199,0.043343432,0.41035694,0.4473895,[0.29390693]
0.03208544,0.04672745,0.456259,0.4764724,[0.2953402]
0.036797814,0.047683783,0.5050841,0.50592136,[0.26230618]
0.041498527,0.045962334,0.55673134,0.53230083,[0.19731113]
0.045919176,0.041545358,0.61076546,0.5524018,[0.10468952]
0.049798988,0.03464799,0.66644675,0.56342673,[-0.01000782]
0.052907325,0.02569974,0.7227771,0.5631165,[-0.14025235]
0.055063613,0.015308179,0.7785585,0.5498548,[-0.27840927]
0.056153014,0.0042080604,0.8324614,0.5227868,[-0.41533116]
0.05613663,-0.0067997314,0.88310784,0.48197746,[-0.5399288]
0.055055417,-0.016914822,0.929171,0.4286116,[-0.6392778]
0.053027462,-0.025404954,0.969495,0.36518043,[-0.7001883]
0.05023877,-0.031669192,1.0032262,0.2955086,[-0.71274763]
0.04692816,-0.03529145,1.0299337,0.22442508,[-0.6745121]
0.04336731,-0.03608173,1.0496798,0.15701398,[-0.5921698]
0.03983701,-0.034105547,1.0630087,0.09769963,[-0.47900036]
0.036600925,-0.02969832,1.0708542,0.049586665,[-0.35028067]
0.033878896,-0.023454284,1.0743998,0.014260214,[-0.22002694]
0.031822786,-0.01617934,1.074932,-0.008088705,[-0.10007746]
0.030498553,-0.008808142,1.0737088,-0.01844743,[-0.00038693]
0.029877607,-0.0022976615,1.0718501,-0.018797012,[0.07070541]
0.029839087,0.0024846308,1.0702441,-0.011955597,[0.10675142]
0.030182844,0.0048601297,1.069471,-0.00139454,[0.10395656]
0.030651323,0.004412453,1.0697482,0.00902263,[0.06209549]
0.030957436,0.0010277277,1.0709053,0.015394639,[-0.01481991]
