Wall time,Step,Value
1683872264.0426846,760,-2.1732661724090576
1683872264.1434152,920,-2.4464974403381348
1683872264.4126954,1340,-3.0296525955200195
1683872264.4765258,1440,-2.883153200149536
1683872264.6231332,1670,-3.345057249069214
1683872264.6759918,1750,-3.40002179145813
1683872264.7717347,1900,-3.403395891189575
1683872264.830579,1990,-3.2905805110931396
1683872264.9063752,2110,-3.128053903579712
1683872265.0001247,2260,-3.1070644855499268
1683872265.047158,2340,-3.1405153274536133
1683872265.1329298,2470,-2.883410930633545
1683872265.441106,2920,-3.1993720531463623
1683872265.5001283,3020,-3.1783032417297363
1683872266.0696063,3920,-3.5595996379852295
1683872266.1224644,4010,-3.5612521171569824
1683872266.2212007,4170,-3.5151901245117188
1683872266.4605603,4560,-3.0997934341430664
1683872266.5134184,4640,-3.046372890472412
1683872266.6670084,4890,-3.2320854663848877
1683872266.6889498,4920,-3.3321259021759033
1683872266.7976587,5100,-3.4591128826141357
1683872266.8405437,5160,-3.674461841583252
1683872266.990143,5410,-3.430736541748047
1683872267.0988538,5590,-3.2757441997528076
1683872267.1537068,5690,-3.388201951980591
1683872267.3481867,6000,-3.2501704692840576
1683872267.44792,6160,-3.3531038761138916
1683872267.4947946,6230,-3.101114273071289
1683872267.562613,6340,-3.0352847576141357
1683872267.6468594,6470,-3.281944990158081
1683872267.843333,6760,-3.2356081008911133
1683872267.9360852,6910,-3.3563790321350098
1683872268.0477877,7090,-3.4953441619873047
1683872268.160485,7270,-3.7563226222991943
1683872268.2352855,7370,-3.684067487716675
1683872268.2951255,7470,-3.677708864212036
1683872268.365939,7580,-3.61057448387146
1683872268.6062937,7930,-3.8007664680480957
1683872268.7289667,8110,-3.7929413318634033
1683872268.7628758,8160,-4.0127153396606445
1683872268.8646026,8320,-3.9588117599487305
1683872269.006224,8540,-3.871890068054199
1683872269.215664,8820,-4.013034343719482
1683872269.5318182,9310,-3.7088584899902344
1683872269.6126032,9430,-3.741722345352173
1683872269.6465116,9480,-3.6033716201782227
1683872269.7592106,9650,-3.667712688446045
1683872269.8489702,9790,-3.613069534301758
1683872269.898837,9870,-3.556581974029541
1683872272.9965537,10430,-3.57273530960083
1683872277.4626112,11250,-3.610948085784912
1683872278.234547,11390,-3.4600090980529785
1683872278.929689,11520,-3.4836106300354004
1683872279.3615334,11600,-3.3891305923461914
1683872284.9515853,12620,-3.4329099655151367
1683872289.5502884,13430,-3.4717421531677246
1683872292.6360366,13970,-2.4150731563568115
1683872293.64833,14150,-1.7081298828125
1683872295.6838877,14500,-1.1892222166061401
1683872301.0116403,15430,0.9535796046257019
1683872302.9439821,15770,0.9123921990394592
1683872303.6850002,15900,0.5482710003852844
1683872307.0121038,16490,-0.15835395455360413
1683872307.8658214,16640,-0.7921925783157349
1683872309.8056333,16990,-1.9522665739059448
1683872316.4747996,18160,-4.4030070304870605
1683872320.9352088,18940,-5.109529972076416
1683872324.0887766,19490,-6.066215515136719
1683872325.7224073,19770,-6.763434410095215
1683872327.4138854,20070,-7.093722343444824
1683872328.9617493,20340,-7.334680080413818
1683872332.2649124,20920,-8.926009178161621
1683872335.220011,21440,-8.345623970031738
1683872337.9208035,21910,-7.721584320068359
1683872341.8742335,22600,-5.017856121063232
1683872342.551422,22720,-4.079029083251953
1683872343.8748822,22950,-2.790107488632202
1683872345.9533246,23310,-0.6839694380760193
1683872348.6401398,23780,0.19299787282943726
1683872349.3322892,23900,1.0368845462799072
1683872354.0431988,24730,3.3855092525482178
1683872356.792845,25210,4.8216471672058105
1683872358.1292717,25450,5.863659381866455
1683872361.268876,26000,5.5017900466918945
1683872362.1594946,26160,5.54172945022583
1683872367.9131093,27170,3.3703765869140625
1683872373.7824147,28200,-0.0073273698799312115
1683872377.095555,28780,-0.6723411083221436
1683872377.599208,28870,-1.5932754278182983
1683872380.364813,29360,-2.0927813053131104
1683872383.3617992,29890,-3.9987545013427734
1683872385.390375,30250,-5.12716817855835
1683872389.0675418,30900,-6.513125896453857
1683872392.8773541,31570,-8.679102897644043
1683872393.8347945,31740,-9.827794075012207
1683872395.8633716,32100,-9.902462005615234
1683872397.6705375,32420,-9.900169372558594
1683872401.0774283,33030,-10.903349876403809
1683872403.214712,33410,-11.312562942504883
1683872416.0055099,35670,-8.065865516662598
1683872424.004121,37080,-5.31545877456665
1683872431.0622468,38330,-5.97981071472168
1683872432.0496066,38500,-5.505678653717041
1683872433.69022,38790,-4.83358097076416
1683872440.474585,39990,0.18655993044376373
1683872442.6308222,40370,0.4048904478549957
1683872443.529416,40530,0.659600019454956
1683872444.7012837,40740,2.303882598876953
1683872451.070253,41860,5.522030353546143
1683872451.747441,41980,5.321427822113037
1683872457.711493,43020,5.419722080230713
1683872459.0977862,43260,4.964669227600098
1683872463.5069954,44020,4.267010688781738
1683872465.519614,44370,4.345971584320068
1683872467.75364,44760,5.159835338592529
1683872470.8483658,45310,6.913597583770752
1683872473.2010736,45720,6.248326301574707
1683872476.0175424,46210,5.919102668762207
1683872477.5464551,46480,5.59055233001709
1683872479.0354724,46740,4.8691487312316895
1683872480.1624599,46940,4.680897235870361
1683872485.476249,47870,4.832585334777832
1683872487.7242389,48260,5.092610836029053
1683872489.827615,48620,5.423721790313721
1683872494.802311,49490,6.496099472045898
1683872495.4226525,49600,6.975331783294678
1683872497.6826088,50000,8.183077812194824
1683872500.1290686,50430,9.717726707458496
1683872500.868092,50560,10.289031982421875
1683872505.8343492,51430,13.185479164123535
1683872510.0037034,52160,16.679244995117188
1683872510.570189,52260,17.13662338256836
1683872511.3062217,52390,17.070148468017578
1683872512.9219007,52670,17.947410583496094
1683872515.1828554,53070,17.934240341186523
1683872518.8340907,53710,18.033611297607422
1683872521.0681167,54110,17.914138793945312
1683872522.9441001,54440,17.999988555908203
1683872525.6069796,54910,17.94196319580078
1683872530.0431173,55690,18.33368682861328
1683872531.3052492,55910,18.296846389770508
1683872533.9142728,56370,18.28025245666504
1683872539.0076528,57260,18.419584274291992
1683872544.8754683,58300,18.483983993530273
1683872546.63576,58610,18.716999053955078
1683872547.9143414,58840,18.665502548217773
1683872551.8558016,59540,18.764965057373047
1683872554.1157584,59940,19.002788543701172
