Task,Success,Ave_V
No Evolution,1,2.86
No Evolution,1,2.91
No Evolution,1,2.85
No Evolution,1,2.93
No Evolution,1,2.92
No Evolution,1,2.99
No Evolution,1,2.9
No Evolution,1,2.92
No Evolution,1,2.92
No Evolution,1,2.94
Evolution with limit,1,3.2
Evolution with limit,1,3.16
Evolution with limit,1,3.1
Evolution with limit,1,3.15
Evolution with limit,1,2.85
Evolution with limit,1,3.16
Evolution with limit,1,3.05
Evolution with limit,1,3.23
Evolution with limit,1,3.1
Evolution with limit,1,3.14
Evolution without limit,0,2.66
Evolution without limit,1,3.16
Evolution without limit,1,3.13
Evolution without limit,0,3.06
Evolution without limit,1,3.18
Evolution without limit,0,3.05
Evolution without limit,0,3.02
Evolution without limit,1,3.04
Evolution without limit,1,3.14
Evolution without limit,1,3.11
