Wall time,Step,Value
1683463750.2991607,630,-3.4331274032592773
1683463750.4607284,890,-3.5954105854034424
1683463750.5834005,1080,-3.571584463119507
1683463750.739982,1330,-4.166058540344238
1683463750.9105258,1610,-4.384915351867676
1683463750.98732,1740,-4.311778545379639
1683463751.0510807,1840,-4.4185404777526855
1683463751.1198978,1950,-4.49757194519043
1683463751.2015674,2080,-4.539702415466309
1683463751.2984233,2240,-4.439723014831543
1683463751.389182,2390,-4.152501106262207
1683463751.4460325,2480,-4.312173366546631
1683463751.5605521,2660,-4.366635799407959
1683463751.6283703,2760,-4.040058135986328
1683463751.7487059,2950,-4.176120281219482
1683463751.873375,3150,-4.077669620513916
1683463752.0698495,3410,-4.066279888153076
1683463752.2014964,3620,-3.951920509338379
1683463752.593749,4250,-4.123130798339844
1683463752.700464,4420,-4.183736324310303
1683463752.7214074,4450,-3.9321255683898926
1683463752.8420844,4660,-3.9032795429229736
1683463752.870011,4700,-3.8551025390625
1683463753.0545163,5000,-3.8876254558563232
1683463753.3078387,5410,-3.8793153762817383
1683463753.364646,5500,-3.9163882732391357
1683463753.5411725,5790,-3.8824830055236816
1683463753.59921,5890,-3.740985631942749
1683463753.6799955,6020,-3.875802516937256
1683463753.8076556,6220,-3.7977819442749023
1683463753.9542618,6460,-4.294763088226318
1683463754.1098466,6700,-4.303370952606201
1683463754.2295265,6900,-4.32073450088501
1683463754.4429548,7250,-3.7636220455169678
1683463754.6045225,7510,-3.8806545734405518
1683463754.6653624,7610,-4.050161838531494
1683463754.7022617,7660,-4.172323703765869
1683463754.8438826,7890,-4.406210422515869
1683463755.0632806,8250,-4.273129940032959
1683463755.1510458,8400,-4.430118560791016
1683463755.3385444,8700,-4.432559967041016
1683463755.4861505,8950,-4.336228847503662
1683463755.5330243,9020,-4.356553077697754
1683463755.5719202,9090,-4.373857021331787
1683463755.6925974,9290,-4.4476189613342285
1683463755.759419,9390,-4.6149001121521
1683463755.880096,9590,-4.304443359375
1683463755.9239795,9660,-4.000613212585449
1683463756.0167315,9810,-4.067549228668213
1683463756.1364105,9990,-3.835144519805908
1683463758.094174,10230,-4.394228458404541
1683463759.4415698,10480,-4.885763168334961
1683463760.0319903,10590,-4.831602573394775
1683463761.8391566,10920,-4.862605571746826
1683463762.0087032,10950,-4.709731578826904
1683463763.6363502,11250,-4.877557754516602
1683463764.1150696,11340,-5.148486137390137
1683463765.2989037,11560,-5.20997953414917
1683463765.5741665,11610,-5.493679523468018
1683463766.117713,11710,-5.52025032043457
1683463767.2985542,11930,-5.646597862243652
1683463768.6379716,12170,-5.784832000732422
1683463769.1186867,12260,-5.798157215118408
1683463769.8198106,12390,-5.741994857788086
1683463770.4700708,12510,-5.6538405418396
1683463776.1518738,13530,-4.582744598388672
1683463780.676771,14330,-1.7294445037841797
1683463783.7764795,14880,-1.0992680788040161
1683463786.1820455,15310,-1.4968100786209106
1683463787.3020499,15510,-1.530235767364502
1683463799.9721603,17760,-1.2901442050933838
1683463804.013351,18480,0.3396509885787964
1683463807.0582068,19020,-0.3106866776943207
1683463808.1861897,19220,-0.3520575165748596
1683463809.8986094,19520,-0.08861369639635086
1683463816.2725606,20650,-0.2514834403991699
1683463817.8224156,20930,-0.9733625650405884
1683463819.3652883,21200,-1.5095444917678833
1683463821.7279687,21620,-2.159374713897705
1683463825.091971,22210,-2.144782543182373
1683463825.8798633,22350,-1.0978907346725464
1683463830.7418585,23210,-0.08284611999988556
1683463835.4283235,24040,1.6389390230178833
1683463836.8904126,24300,1.8947516679763794
1683463840.2723665,24900,3.368551731109619
1683463841.9748135,25200,3.7620327472686768
1683463843.6164224,25490,4.691673755645752
1683463844.075195,25570,6.166568279266357
1683463846.3441265,25970,6.833113193511963
1683463846.8507714,26060,7.226373195648193
1683463848.8115265,26410,7.766561508178711
1683463850.164907,26650,9.0447416305542
1683463852.29122,27030,9.551887512207031
1683463852.844739,27130,10.207009315490723
1683463856.1738348,27720,11.57481861114502
1683463858.6851172,28170,12.077939987182617
1683463859.1408985,28250,12.381327629089355
1683463862.1747851,28780,12.37875747680664
1683463863.5371392,29020,12.41541862487793
1683463865.2011926,29310,12.571097373962402
1683463867.2856176,29680,12.773785591125488
1683463868.3198512,29860,13.645951271057129
1683463871.262979,30370,13.20710277557373
1683463871.8184931,30470,12.608269691467285
1683463874.5830991,30960,11.828579902648926
1683463875.280234,31080,11.33224105834961
1683463877.0953786,31400,11.2103271484375
1683463878.673159,31680,10.972857475280762
1683463883.5700607,32550,9.8095121383667
1683463885.0790243,32820,9.140998840332031
1683463886.2578714,33030,8.221827507019043
1683463886.9240901,33150,7.783829689025879
1683463890.6600964,33810,6.201559066772461
1683463891.3981225,33940,5.999307155609131
1683463893.5743022,34330,5.190036296844482
1683463895.8282733,34730,4.384871482849121
1683463897.0988743,34960,4.283938884735107
1683463897.530719,35040,3.966526746749878
1683463898.4622273,35210,3.5250704288482666
1683463900.395058,35560,2.5036935806274414
1683463902.1344054,35870,2.292844533920288
1683463910.079156,37310,-5.081519603729248
1683463913.6715465,37960,-6.260743141174316
1683463918.1894624,38770,-7.079482555389404
1683463919.892906,39070,-6.8532843589782715
1683463921.480659,39350,-5.819774627685547
1683463925.9307563,40140,-4.427212715148926
1683463927.9762847,40500,-3.846207618713379
1683463929.5141714,40770,-3.7901294231414795
1683463930.402794,40930,-3.132204532623291
1683463934.878822,41710,-0.13292747735977173
1683463935.7913818,41870,1.6236778497695923
1683463937.3571932,42140,3.089071750640869
1683463938.6128345,42360,4.55394172668457
1683463940.2354941,42640,5.874938488006592
1683463941.089211,42790,7.104245185852051
1683463944.3395169,43350,9.235481262207031
1683463945.5442946,43560,10.487751960754395
1683463946.59648,43740,11.15711784362793
1683463949.5316298,44250,13.448094367980957
1683463950.6905296,44450,14.170693397521973
1683463951.7496965,44630,15.493499755859375
1683463953.5438979,44940,16.10652732849121
1683463953.7732842,44980,16.190120697021484
1683463955.654253,45310,16.45384979248047
1683463959.4660573,45970,17.649494171142578
1683463959.9916515,46060,17.981643676757812
1683463962.8180912,46550,19.60036849975586
1683463967.9244335,47440,20.20408821105957
1683463968.5517552,47550,20.28538703918457
1683463971.1617746,48000,20.596712112426758
1683463971.786104,48110,20.630626678466797
1683463973.5204651,48410,20.622913360595703
1683463974.3342884,48550,20.79596710205078
1683463975.4682553,48750,20.870498657226562
1683463976.9662483,49010,20.824382781982422
1683463979.7827153,49500,20.319875717163086
1683463982.7921708,50030,20.219993591308594
1683463984.614297,50350,20.186168670654297
1683463984.9553843,50410,20.159170150756836
1683463986.0823698,50610,20.06586265563965
1683463988.5198503,51040,20.045032501220703
1683463993.534438,51910,20.23875617980957
1683463996.194323,52360,20.451766967773438
1683463997.8987641,52640,20.589384078979492
1683463999.4067302,52890,20.68155860900879
1683464000.7471454,53110,20.80658531188965
1683464002.6380875,53410,20.96274757385254
1683464003.2534418,53510,21.02970314025879
1683464005.755759,53920,21.227867126464844
1683464007.0183818,54130,21.285593032836914
1683464009.1995485,54480,21.95908546447754
1683464011.9491937,54950,22.195192337036133
1683464014.3916602,55380,22.220958709716797
1683464020.252983,56410,23.192415237426758
1683464022.3733115,56780,23.129802703857422
1683464023.3078117,56940,23.012271881103516
1683464025.8689623,57390,22.932722091674805
1683464026.713702,57540,22.764738082885742
1683464027.955381,57760,22.631587982177734
1683464028.7781796,57900,22.582433700561523
1683464029.723651,58070,22.38021469116211
1683464031.2635324,58340,22.003992080688477
1683464031.8310144,58440,21.531063079833984
1683464033.2821326,58690,21.080629348754883
1683464034.13186,58840,20.824853897094727
1683464035.0533953,59000,20.801467895507812
1683464039.8824785,59850,19.881195068359375
1683464040.6703708,59990,19.80420684814453
1683464042.8565235,60380,19.541183471679688
1683464046.5596194,61030,19.21776580810547
1683464051.6968777,61940,19.49889373779297
1683464052.4219387,62070,19.494674682617188
1683464054.4056325,62420,19.62158966064453
1683464055.2613435,62570,20.117359161376953
1683464057.8274798,63030,20.17728614807129
1683464058.5655065,63160,20.252399444580078
1683464060.6848376,63540,20.436521530151367
1683464061.2353652,63640,20.77175521850586
1683464062.307497,63830,21.09023666381836
1683464063.8543594,64100,21.48186683654785
1683464067.1724842,64690,21.874736785888672
1683464068.7093737,64960,22.03847312927246
1683464071.3134084,65420,22.343149185180664
1683464075.9310575,66230,22.205148696899414
1683464078.2149482,66640,21.76620864868164
1683464080.788066,67100,21.486263275146484
